ID	Glucose	Insulin_ug_l	Glucose_Insulin
F2_2	499	900	0.5
F2_3	397	944	0.420550847
F2_14	424	632	0.670886076
F2_15	557	3326	0.167468431
F2_19	382	426	0.896713615
F2_20	456	2906	0.156916724
F2_23	541	920	0.588043478
F2_24	465	1895	0.245382586
F2_26	663	7293	0.090909091
F2_37	430	653	0.658499234
F2_42	487	1364	0.357038123
F2_43	412	1340	0.307462687
F2_45	501	2183	0.229500687
F2_46	281	396	0.70959596
F2_47	544	844	0.644549763
F2_48	385	629	0.612082671
F2_51	511	819	0.623931624
F2_52	635	2692	0.235884101
F2_54	488	3544	0.137697517
F2_63	489	1860	0.262903226
F2_65	466	1125	0.414222222
F2_66	568	1343	0.42293373
F2_68	472	911	0.518111965
F2_69	292	560	0.521428571
F2_70	426	420	1.014285714
F2_71	497	400	1
F2_72	367	599	0.612687813
F2_78	436	1166	0.373927959
F2_79	435	1647	0.264116576
F2_80	394	3239	0.121642482
F2_81	355	1549	0.229180116
F2_83	522	1118	0.466905188
F2_86	334	2457	0.135938136
F2_87	265	766	0.345953003
F2_88	400	2852	0.140252454
F2_89	410	400	0.2
F2_107	308	627	0.49122807
F2_108	337	517	0.651837524
F2_109	290	954	0.303983229
F2_110	435	414	1.050724638
F2_111	364	1027	0.35443038
F2_112	361	610	0.591803279
F2_117	409	468	0.873931624
F2_119	406	583	0.696397942
F2_125	590	1233	0.478507705
F2_126	440	400	0.2
F2_127	498	457	1.089715536
F2_141	354	675	0.524444444
F2_142	324	728	0.445054945
F2_143	494	5353	0.0922847
F2_144	382	409	0.93398533
F2_145	388	569	0.681898067
F2_154	354	509	0.695481336
F2_155	321	439	0.731207289
F2_156	385	615	0.62601626
F2_157	227	407	0.557739558
F2_162	453	625	0.7248
F2_163	589	1370	0.429927007
F2_164	448	2677	0.167351513
F2_165	338	465	0.72688172
F2_166	393	1733	0.22677438
F2_167	274	326	0.840490798
F2_169	331	613	0.539967374
F2_180	413	1294	0.319165379
F2_181	339	385	0.880519481
F2_182	341	454	0.751101322
F2_187	402	2243	0.179224253
F2_188	326	733	0.444747613
F2_189	399	534	0.747191011
F2_190	416	2519	0.165144899
F2_191	511	2935	0.174105622
F2_192	291	1236	0.235436893
F2_194	445	670	0.664179104
F2_195	334	273	1.223443223
F2_200	478	1573	0.30387794
F2_201	373	5105	0.073065622
F2_212	393	547	0.718464351
F2_213	727	1129	0.643932684
F2_214	364	466	0.78111588
F2_215	478	6906	0.069215175
F2_222	385	582	0.661512027
F2_223	370	1151	0.3214596
F2_224	258	333	0.774774775
F2_225	229	310	0.738709677
F2_226	272	397	0.685138539
F2_227	419	807	0.519206939
F2_228	576	2797	0.20593493
F2_241	318	429	0.741258741
F2_242	413	869	0.475258918
F2_243	439	1075	0.408372093
F2_244	313	486	0.644032922
F2_245	537	2708	0.198301329
F2_247	483	615	0.785365854
F2_248	458	422	1.085308057
F2_261	475	1108	0.428700361
F2_263	519	400	0.2
F2_264	453	1529	0.296272073
F2_270	509	1979	0.257200606
F2_271	499	6357	0.078496146
F2_272	484	2545	0.190176817
F2_278	558	5091	0.109605186
F2_287	400	400	0.2
F2_288	406	669	0.606875934
F2_289	469	1416	0.331214689
F2_290	437	924	0.472943723
F2_291	572	5781	0.098944819
F2_296	569	978	0.581799591
F2_298	568	560	1.014285714
F2_299	464	1151	0.403127715
F2_300	599	2823	0.212185618
F2_302	655	4506	0.14536174
F2_303	477	1596	0.29887218
F2_304	400	400	0.2
F2_305	503	1094	0.459780622
F2_306	484	3533	0.136994056
F2_307	488	421	1.159144893
F2_308	575	3130	0.18370607
F2_309	417	821	0.507917174
F2_310	418	1082	0.386321627
F2_311	369	1206	0.305970149
F2_312	522	1073	0.486486486
F2_320	316	1022	0.309197652
F2_321	644	10335	0.06231253
F2_323	365	1134	0.321869489
F2_324	332	1480	0.224324324
F2_325	413	1721	0.239976758
F2_326	395	579	0.682210708
F2_327	442	1217	0.363188168
F2_328	376	947	0.397043295
F2_329	256	577	0.443674177
F2_330	338	591	0.571912014
F2_332	340	436	0.779816514
F2_355	358	829	0.431845597
F2_357	372	1795	0.20724234

